"Agriculture, forestry, and fishing, value added (% of GDP)",CO2 emissions (kg per PPP $ of GDP),Current health expenditure (% of GDP),Lifetime risk of maternal death (%),Population growth (annual %),"Unemployment, total (% of total labor force)",Level of water stress,Internet Penetration Ratio,Urbanization Ratio,Freshwater Withdrawals to Water Productivity Ratio,Cropland Ratio,Water Use (mm/day/yr) - Cropland,Vapor pressure deficit VPD,Normalized difference vegetation index NDVI,Air Temp (Kelvin),Country
7.319375146,0.299284521,4.67041826,1.405301088,2.020537288,6.784,35.40538538,0.642514734,0.475122066,5.269729174,0.00617284,1.7,1.11,0.43,294.33,Zimbabwe
0.976671168,0.245048697,2.56569624,0.026862883,18.12798398,2.86,1832.606061,0.737697493,4.890322201,17.69646696,0.352985355,0.19,2.47,0.18,301.13,United Arab Emirates
13.00894327,0.101610363,4.90703917,0.445088203,1.254592919,6.81,0.753749559,0.156741038,1.324338145,0.039044957,0.006508239,3,1,0.59,296.77,Paraguay
19.6083871,0.226863535,2.10756016,1.155761523,3.003526703,2,0.132242833,0.076439435,0.149676366,0.001174678,0.588235294,4.02,0.34,0.67,295.96,Papua New Guinea
27.34554429,0.22741894,3.0855279,2.486249662,2.625567262,4.19,3.117870722,0.014659803,0.531956615,0.097654932,0.037356322,3.49,1.17,0.49,300.13,Togo
5.224880586,0.288722905,5.4608078,0.695331909,1.339200102,9.49,4.066281805,1.856473639,2.006343385,0.112487038,0.077419354,3.9,0.61,0.72,299.32,Suriname
8.965181014,0.311236216,7.09389353,0.009655747,-0.53099416,8.19,13.72894532,0.915382079,2.275788646,1.998803585,0.020648253,1.56,0.53,0.42,284.07,Ukraine
1.71472562,0.331827929,2.20352387,2.269404696,4.885154773,8.105,0.16570899,0.006444805,1.03384315,0.000278745,0.369931231,4.01,0.39,0.51,296.08,Equatorial Guinea
9.582656922,0.246626947,4.61388969,0.350550261,3.150272995,9.07,1.260294485,2.758672368,0.830864717,0.046492416,0.22818792,3.13,0.66,0.67,298.26,Belize
1.372884044,0.229497762,1.57114804,1.297032426,4.68160681,7.986,0.183503244,0.046033576,1.570694087,0.000125519,0.308673732,4.26,0.42,0.55,296.34,Equatorial Guinea
3.764530777,0.28611781,7.00114107,0.047480222,2.607520841,7.83,51.82349124,0.121001261,7.087997412,1.137876289,0.191489362,1.51,0.75,0.29,287.37,Lebanon
21.80047244,0.204702864,2.81689181,1.204698151,2.141523972,0.4,111.6166186,0.02881406,0.524088214,287.7336242,0.023130536,2.59,1.71,0.38,298.11,Pakistan
20.0666052,0.127887264,4.19324636,0.131369021,0.763488078,7.9,91.14782609,0.00263107,0.224964782,8.60253331,0.42322416,3.64,0.84,0.61,299.64,Sri Lanka
4.342034128,0.140810297,7.78819132,0.127970136,0.92858963,7.58,3.419178487,1.926900798,5.506604203,0.052166501,0.042553374,2.71,0.93,0.58,296.87,Brazil
34.19266079,0.179146743,3.84063601,2.682791096,2.851778081,3.329,3.391634981,0.020978124,0.576963714,0.114823479,0.056396149,3.21,1.25,0.5,300,Togo
22.13115469,0.098289527,4.00803423,1.305024516,2.46059584,3.225,5.734524847,0.089800267,1.086506562,0.130302981,0.185852999,3.59,0.9,0.55,299.25,Ghana
17.86634043,0.191430251,2.33063054,0.776341478,2.468594345,2.455,0.132242833,0.488602105,0.150086256,0.000837574,0.588235294,3.77,0.35,0.69,296.07,Papua New Guinea
38.77500623,0.05503893,5.24640608,5.258448818,3.672544763,1.702,4.946956769,0.057371722,0.193730527,5.826702436,0.001827235,1.21,2.56,0.25,300.98,Niger
19.77196478,0.254395571,7.01381588,0.065654766,2.244592399,7.001,64.48080222,0.141966295,0.372382181,14.77353597,0.040149849,1.71,1.05,0.29,286.03,Tajikistan
3.679867959,0.567595182,5.81930256,0.013227543,-0.303582824,12.33,20.28138528,2.442925814,2.121585766,1.326413455,0.007399577,2.35,0.26,0.44,279.84,Estonia
12.6919713,0.078169429,4.19339228,0.093826319,0.965634567,5.85,90.78541374,0.057843458,0.223121896,5.48335637,0.37164751,3.37,0.85,0.6,299.8,Sri Lanka
0.516824849,0.451863827,3.12468719,0.031769985,2.757762092,1.1,2075,0.089205734,inf,0.006561708,0.01986755,0.59,3.04,0.18,299.68,Kuwait
46.90233015,0.127894766,10.82904911,8.519332874,4.019101559,3.411,0.474018692,0.002565305,0.571141277,0.010798074,0.036448564,4.51,0.7,0.63,298.74,Sierra Leone
0.695334317,0.243689725,11.23791218,0.009073942,-0.25338341,7.74,44.88167032,0.336256584,3.304963623,0.338091664,0.011844131,2.17,0.34,0.52,282.71,Germany
0.826451928,1,1,0.02521832,-1.145930978,14.3,20.80375084,0.170335874,14.83782072,0.115661011,0.140478668,3.23,0.65,0.7,297.97,Puerto Rico
19.86728412,0.195520523,5.91206694,0.132367461,1.877486845,11.978,72.71789008,0.167769471,0.360840455,35.92668343,0.027501587,1.56,1.01,0.24,285.32,Tajikistan
0.803821797,1,1,0.024983276,-1.209987934,14.5,21.43782094,0.168395066,14.93879503,0.122441994,0.147357724,3.54,0.67,0.7,298.06,Puerto Rico
13.18518553,0.073607048,6.0642848,0.221966048,1.380358566,4.38,1.835399711,2.441095488,1.512373439,0.14899572,0.005134667,2.57,1.01,0.58,296.47,Paraguay
0.647745527,0.059979152,11.28695965,0.012385377,0.713313668,4.39,6.498855835,0.429229549,2.823945547,0.009619963,0.016599477,2.05,0.34,0.62,282.74,Switzerland
0.25111529,0.222720258,5.95225334,0.009688687,2.222660503,4.9,3.839137645,0.447148859,8.013881377,0.003927835,0.011503009,1.71,0.32,0.58,283.07,Luxembourg
3.781795521,0.338394255,8.95958614,2.464619011,1.104914388,16.852,2.565905097,0.358268811,0.368138784,0.015544608,0.00179937,1.48,0.96,0.32,287.65,Lesotho
3.97945679,0.161576489,6.2759347,0.011146045,-1.341201988,13.36,3.870223504,1.410271915,2.017865765,0.049203212,0.011188516,2.91,0.27,0.44,279.95,Lithuania
12.71395283,0.084796272,4.82934713,0.434865733,1.111787402,4.82,1.007776864,0.573584846,1.360327613,0.065674738,0.006432879,2.62,0.96,0.6,296.53,Paraguay
1.476474393,0.274645163,9.70939922,0.007631049,0.620413127,5.83,9.823846366,0.548116035,1.44462915,0.069179496,0.023017368,1.94,0.35,0.48,282.19,Austria
9.280709499,0.271004697,5.13109922,0.11335503,0.912371671,12.51,73.22956606,0.192450736,1.900568511,5.563340419,0.222516826,0.9,0.97,0.29,291.09,Tunisia
0.985493768,0.173455631,10.62784767,0.014693465,0.423743803,15.45,4.717677254,1.152077458,1.627568448,0.00918563,0.000220604,1.73,0.23,0.61,282.64,Ireland
21.83948741,0.08802601,5.23373222,2.451788746,3.032786411,3.3,7.820267686,0.013905196,0.298633837,0.695778349,0.010709748,2.17,2.29,0.35,301.55,Burkina Faso
24.91451109,0.141413051,5.24640608,1.569480804,3.014610299,3.304,1.614929506,0.160566909,0.489114572,0.141352766,0.00748527,2.36,0.97,0.53,296.64,Mozambique
2.96696273,0.169230555,6.70067848,0.008566352,-0.824099164,16.18,1.519564251,0.929870556,1.280761774,0.024421221,0.049115275,1.99,0.53,0.54,285.89,Croatia
6.981708507,0.172555024,8.90416241,0.085777373,0.374364787,4.89,7.155992237,0.053883901,1.894523561,0.408223457,0.170414201,2.97,0.93,0.64,299.07,El Salvador
31.24133151,0.051380161,10.99695206,5.530441128,1.943058623,5.7,0.335648148,0.623618292,0.705436933,0.001934361,0.015748031,3.51,1.6,0.58,300.11,Central African Republic
42.26040256,0.130572458,7.28979349,4.766307273,2.461141531,3.082,1.495726496,0.040908521,0.627206899,0.247347276,0.350243069,3.87,1.4,0.64,300.37,Guinea-Bissau
6.167184386,0.175565358,8.18899441,0.141531785,1.185669439,11.17,2.698345154,0.604453212,4.618924538,0.04588817,0.046143497,2.76,0.94,0.57,296.96,Brazil
35.81687722,0.075651264,5.57411098,3.16107286,3.826933982,0.542,6.746113481,0.595785349,0.195457262,6.644582518,0.00246797,0.94,2.57,0.25,301.53,Niger
14.00093054,0.189820334,7.857059,0.438285855,1.33973922,7.9,1.177001127,5.440032734,2.347056264,0.041212159,0.00653664,3.35,0.99,0.62,297.54,Bolivia
46.71272963,0.18953228,8.77101326,3.401908189,3.538298055,2.162,0.264311594,0.057813257,0.944882043,0.003609151,0.118478065,4.18,0.51,0.61,297.88,Liberia
3.934895242,0.366577415,6.302598,0.015076065,0.028469923,13.92,1.360858794,0.295854742,1.172921058,0.021746243,0.059364548,1.81,0.61,0.47,285.21,Croatia
1,0.038564057,1,7.759939745,3.041991501,19.174,24.52774059,0.063322312,0.5244832,29.16824009,0.000635959,2.02,1.24,0.42,299.76,Somalia
2.145318718,0.268590526,6.44928551,0.042858957,1.354002535,7.86,30.18042646,0.458817421,2.068049334,0.287630349,0.257093723,1.86,0.8,0.39,292.14,Cyprus
1.401871892,0.332036192,2.31092215,0.065219163,1.79115994,4.156,94.31428571,1.003168459,2.699182481,2.419815499,0.025290499,0.78,1.7,0.22,299.61,Oman
1.109350298,0.399543538,8.14988899,0.013896547,0.343951158,6.18,87.64619165,0.092101898,34.5366027,1.147217809,0.014998558,1.34,0.3,0.57,283.44,Belgium
24.19827461,0.224429519,2.58692551,2.009088471,3.092079184,0.6,106.641157,0.00638399,0.496557917,362.1980675,0.018175917,2.32,1.75,0.33,298.02,Pakistan
2.993028146,0.296918579,6.38664055,0.003011964,-0.074846229,8.99,36.79820007,0.536472592,1.525443847,0.461312021,0.026067665,1.77,0.34,0.52,282.9,Poland
17.98351399,0.100058123,4.80760574,1.305522053,1.410821213,13.852,13.38379177,0.058650071,1.145738563,1.069158968,0.152173913,3.03,0.76,0.62,298.48,Haiti
7.938754274,0.27651384,7.61078882,0.151582566,1.033476224,11.51,9.348217078,1.241236791,9.031096399,0.893213798,0.007696991,1.89,0.78,0.51,290.36,Argentina
12.04990141,0.217831247,7.709445,0.172044196,1.773336937,6.73,4.621268764,0.348887589,1.263109059,0.130685889,0.157618214,3.31,0.63,0.67,296.34,Honduras
26.97108697,0.209128303,2.89382267,2.702088126,2.875557241,0.886,0.975243811,0.023340192,0.711098183,0.019773153,0.089552239,3.46,1.56,0.47,300.63,Benin
5.727925913,0.222591781,8.1302166,0.09482907,0.146006195,6.8,12.28621335,0.010985386,1.571156763,1.341312431,0.207591934,3.36,1.03,0.64,299.38,El Salvador
9.769585882,0.286767742,5.17306805,0.606703385,1.677828499,2.25,1.177001127,3.126032224,2.018776792,0.054041058,0.005831137,2.91,0.81,0.6,296.72,Bolivia
1.65472753,0.152544691,10.5219717,0.010991975,0.376272243,7.8,19.69983775,0.659993374,6.777259294,0.030676212,0.002286585,2.09,0.25,0.54,281.52,Denmark
