CO2 emissions (kg per PPP $ of GDP),GDP per capita (current US$),"Life expectancy at birth, total (years)",Air Temp (Kelvin),Energy Access Ratio,Internet Penetration Ratio,Urbanization Ratio,Water Productivity vs. Crop Production Index,Freshwater Withdrawals to Water Productivity Ratio,Cropland Ratio,Crop production index (2014-2016 = 100),Country
0.299284521,2269.177012,61.414,294.33,0.660788765,0.642514734,0.475122066,0.04296335,5.269729174,0.00617284,135.87,Zimbabwe
0.245048697,43918.38017,77.129,301.13,1,0.737697493,4.890322201,0.581915804,17.69646696,0.352985355,177.96,United Arab Emirates
0.101610363,1436.764904,70.297,296.77,0.527234703,0.156741038,1.324338145,0.388053065,0.039044957,0.006508239,55.9,Paraguay
0.226863535,1879.240444,63.039,295.96,0.394871795,0.076439435,0.149676366,0.482260132,0.001174678,0.588235294,86.41,Papua New Guinea
0.22741894,551.8476777,55.569,300.13,0.040384219,0.014659803,0.531956615,0.246344932,0.097654932,0.037356322,74.1,Togo
0.288722905,2906.725278,66.416,299.32,0.854066529,1.856473639,2.006343385,0.092008044,0.112487038,0.077419354,61.87,Suriname
0.311236216,3661.457764,71.82731707,284.07,0.952,0.915382079,2.275788646,0.085269878,1.998803585,0.020648253,112.83,Ukraine
0.331827929,2031.419386,53.636,296.08,0.292928401,0.006444805,1.03384315,3.178841701,0.000278745,0.369931231,77.61,Equatorial Guinea
0.246626947,4687.625957,68.357,298.26,1.002081226,2.758672368,0.830864717,0.140656984,0.046492416,0.22818792,101.21,Belize
0.229497762,13776.90333,56.54,296.34,0.33158328,0.046033576,1.570694087,6.90619594,0.000125519,0.308673732,87.85,Equatorial Guinea
0.28611781,8500.180563,78.628,287.37,0.010046802,0.121001261,7.087997412,0.353219876,1.137876289,0.191489362,82.79,Lebanon
0.204702864,837.6315379,63.852,298.11,0.393846116,0.02881406,0.524088214,0.013090219,287.7336242,0.023130536,87.83,Pakistan
0.127887264,832.4273196,70.787,299.64,0.268867925,0.00263107,0.224964782,0.037076675,8.60253331,0.42322416,77.18,Sri Lanka
0.140810297,13200.55817,73.343,296.87,0.949373228,1.926900798,5.506604203,0.261034643,0.052166501,0.042553374,93.81,Brazil
0.179146743,725.8544458,56.695,300,0.075376631,0.020978124,0.576963714,0.205950318,0.114823479,0.056396149,82,Togo
0.098289527,1536.619916,62.081,299.25,0.313218899,0.089800267,1.086506562,0.360909303,0.130302981,0.185852999,92.32,Ghana
0.191430251,2332.675664,64.84,296.07,0.659259259,0.488602105,0.150086256,0.582055392,0.000837574,0.588235294,100.41,Papua New Guinea
0.05503893,472.1784269,56.508,300.98,0.101915833,0.057371722,0.193730527,0.075823091,5.826702436,0.001827235,74.99,Niger
0.254395571,850.6669582,70.353,286.03,0.824773414,0.141966295,0.372382181,0.008741642,14.77353597,0.040149849,119.26,Tajikistan
0.567595182,17487.80478,76.22926829,279.84,1,2.442925814,2.121585766,0.153365238,1.326413455,0.007399577,72.48,Estonia
0.078169429,2053.766445,69.187,299.8,0.246871053,0.057843458,0.223121896,0.051897868,5.48335637,0.37164751,86.16,Sri Lanka
0.451863827,18626.7595,76.982,299.68,1,0.089205734,inf,3.897681251,0.006561708,0.01986755,39.1,Kuwait
0.127894766,255.9726186,46.963,298.74,0.020107805,0.002565305,0.571141277,0.194804818,0.010798074,0.036448564,60.28,Sierra Leone
0.243689725,41650.36783,79.83658537,282.71,1,0.336256584,3.304963623,0.872884617,0.338091664,0.011844131,103.7,Germany
1,28513.16574,78.777,297.97,0.01,0.170335874,14.83782072,1.118031712,0.115661011,0.140478668,101.49,Puerto Rico
0.195520523,704.6501788,67.688,285.32,0.645734501,0.167769471,0.360840455,0.006889925,35.92668343,0.027501587,70.17,Tajikistan
1,27944.73389,78.461,298.06,0.01,0.168395066,14.93879503,1.08010797,0.122441994,0.147357724,102.26,Puerto Rico
0.073607048,6435.82655,72.757,296.47,0.631211857,2.441095488,1.512373439,0.143514385,0.14899572,0.005134667,96.45,Paraguay
0.059979152,84121.93103,83.90487805,282.74,1,0.429229549,2.823945547,4.463450151,0.009619963,0.016599477,98.23,Switzerland
0.222720258,119025.0572,80.98780488,283.07,1,0.447148859,8.013881377,11.4822366,0.003927835,0.011503009,102.66,Luxembourg
0.338394255,1113.868632,51.101,287.65,1.145561572,0.358268811,0.368138784,0.523776629,0.015544608,0.00179937,102.86,Lesotho
0.161576489,14367.70942,73.86341463,279.95,1,1.410271915,2.017865765,0.809919494,0.049203212,0.011188516,87.13,Lithuania
0.084796272,1960.514766,70.527,296.53,0.525944005,0.573584846,1.360327613,0.310233214,0.065674738,0.006432879,55.58,Paraguay
0.274645163,36889.23351,79.1804878,282.19,1,0.548116035,1.44462915,0.827483211,0.069179496,0.023017368,112.92,Austria
0.271004697,3279.10282,74.921,291.09,0.987927565,0.192450736,1.900568511,0.140441137,5.563340419,0.222516826,87.99,Tunisia
0.173455631,49054.69743,80.84634146,282.64,1,1.152077458,1.627568448,2.554003825,0.00918563,0.000220604,85.28,Ireland
0.08802601,516.750328,54.375,301.55,0.390132171,0.013905196,0.298633837,0.20053932,0.695778349,0.010709748,46.9,Burkina Faso
0.141413051,667.7177895,55.639,296.64,0.160273934,0.160566909,0.489114572,0.077933067,0.141352766,0.00748527,122.92,Mozambique
0.169230555,12071.09096,77.27560976,285.89,1,0.929870556,1.280761774,0.766531797,0.024421221,0.049115275,96.85,Croatia
0.172555024,3017.307395,71.848,299.07,0.840792748,0.053883901,1.894523561,0.170441885,0.408223457,0.170414201,105.48,El Salvador
0.051380161,435.9322963,54.369,300.11,0.047801293,0.623618292,0.705436933,0.243711525,0.001934361,0.015748031,109.07,Central African Republic
0.130572458,418.902079,53.371,300.37,0.082552529,0.040908521,0.627206899,0.056023319,0.247347276,0.350243069,78.93,Guinea-Bissau
0.175565358,3056.64968,70.72,296.96,0.934212296,0.604453212,4.618924538,0.330363711,0.04588817,0.046143497,66.5,Brazil
0.075651264,514.5432689,62.16,301.53,0.125167562,0.595785349,0.195457262,0.06140037,6.644582518,0.00246797,110.74,Niger
0.189820334,3068.812555,64.467,297.54,0.8979466,5.440032734,2.347056264,0.155955368,0.041212159,0.00653664,107.04,Bolivia
0.18953228,644.4555767,59.913,297.88,0.043237083,0.057813257,0.944882043,0.202165541,0.003609151,0.118478065,99.98,Liberia
0.366577415,8192.322633,74.61390244,285.21,1.000262825,0.295854742,1.172921058,1.178397365,0.021746243,0.059364548,63.36,Croatia
0.038564057,392.3557148,50.515,299.76,0.03463939,0.063322312,0.5244832,0.020802183,29.16824009,0.000635959,90.59,Somalia
0.268590526,32485.80273,79.999,292.14,1,0.458817421,2.068049334,0.83460751,0.287630349,0.257093723,117.92,Cyprus
0.332036192,14533.72942,74.48,299.61,1.000859197,1.003168459,2.699182481,0.575458687,2.419815499,0.025290499,67.73,Oman
0.399543538,23015.07126,77.97317073,283.44,1,0.092101898,34.5366027,0.610123949,1.147217809,0.014998558,84.94,Belgium
0.224429519,499.2183062,62.421,298.02,0.33573396,0.00638399,0.496557917,0.012106413,362.1980675,0.018175917,72.08,Pakistan
0.296918579,14181.95018,77.60243902,282.9,1,0.536472592,1.525443847,0.408345177,0.461312021,0.026067665,105.29,Poland
0.100058123,1313.186095,63.392,298.48,0.099009901,0.058650071,1.145738563,0.106580199,1.069158968,0.152173913,97.83,Haiti
0.27651384,5086.627761,75.139,290.36,1.01317892,1.241236791,9.031096399,0.166673194,0.893213798,0.007696991,77.51,Argentina
0.217831247,2295.536231,72.588,296.34,0.507641921,0.348887589,1.263109059,0.125902631,0.130685889,0.157618214,107.73,Honduras
0.209128303,944.6431712,57.675,300.63,0.121385012,0.023340192,0.711098183,1.064201176,0.019773153,0.089552239,59.98,Benin
0.222591781,2273.955503,70.34,299.38,0.753230607,0.010985386,1.571156763,0.097420528,1.341312431,0.207591934,96.43,El Salvador
0.286767742,2304.982295,66.534,296.72,0.873936445,3.126032224,2.018776792,0.164925159,0.054041058,0.005831137,77.19,Bolivia
0.152544691,58507.50805,80.05121951,281.52,1,0.659993374,6.777259294,4.224577978,0.030676212,0.002286585,93.69,Denmark
0.250092749,2433.212646,69.128,290.5,0.980310881,0.286182872,1.259682741,0.068295057,7.168684909,0.029453015,89.4,Morocco
0.117874321,711.1845439,59.536,301.84,0.546630493,0.107449045,0.403370897,0.170425392,0.402031556,0.011776332,95.51,Burkina Faso
0.357591828,52635.17496,81.74487805,275.66,1,21.92653509,4.312931676,0.378283111,0.032441254,0.003094637,106.59,Canada
0.337853848,13010.75692,76.74634146,281.66,1,0.501286949,1.541554415,0.394191135,0.562379484,0.027393489,96.53,Poland
0.076841569,386.4338685,52.626,298.88,0.027319316,0.002997967,0.625117821,0.169334348,0.008676347,0.036832703,90.27,Sierra Leone
0.269334258,45376.17084,79.726,301.52,1,0.764426298,6.569449701,1.609934176,9.864803155,0.103995902,102.55,United Arab Emirates
0.208496195,9348.514868,64.587,297.52,0.928331467,3.366942432,6.481669909,0.983979216,0.000938976,0.079389022,91.8,Gabon
1,862.3190638,68.481,292.14,1.087767308,0.316313702,1.150537634,0.009736873,178.6835289,0.076934128,112.54,Syrian Arab Republic
0.383653907,1290.193957,55.626,294.37,0.684090909,0.349949805,0.488848525,0.048045953,5.228256384,0.00617284,112.37,Zimbabwe
0.330773958,2292.483168,74.059,291.09,0.978527607,0.080844384,1.793452148,0.203658924,6.462248363,0.218887637,51.15,Tunisia
0.184857138,1170.965533,60.454,300.94,0.120005722,0.205657437,0.917950095,0.874562551,0.01157122,0.151898734,124.72,Benin
0.197927391,759.8959722,58.073,299.88,0.117568423,0.031409191,0.627233378,0.221225229,0.090458336,0.051948052,96.9,Togo
0.321958844,28863.97329,79.43902439,288.12,1,0.418603729,3.03209548,0.283166128,0.59988011,0.146265962,97.64,Greece
0.096526306,1454.649175,62.987,298.58,0.09860444,0.030173038,1.059477716,0.09696359,1.103776654,0.152173913,104.16,Haiti
0.137244138,500.5229808,63.565,286.84,0.332139202,0.303929051,0.346873906,0.008942111,39.52741829,0.005840568,121.7,Afghanistan
0.288570221,4064.25301,75.011,291.87,1.000072465,0.507007255,9.26272578,0.427642153,2.864270117,0.081794945,103.93,Jordan
0.125611486,49169.71934,81.93170732,281.69,1,5.066283451,5.904646827,0.891750998,0.033814606,0.002202643,92.98,Finland
0.402231676,449.9111249,63.091,298.53,0.372547959,0.001819086,0.387308898,0.019826464,32.23958569,0.05263537,67.67,India
0.213219014,242.4499372,53.042,298.02,0.037890653,0.000994957,0.83019455,0.140284681,0.005931537,0.139986935,84.04,Liberia
1,26435.74879,78.01,298.28,0.01,0.107969448,15.19433198,0.995789732,0.136904029,0.159876225,105.07,Puerto Rico
0.048169313,773.8205575,66.774,292.79,0.092940691,0.044662242,0.211122953,0.136909627,0.362553612,0.137991941,129.36,Rwanda
0.050214043,346.7684624,54.369,295.17,0.088888889,0.017564663,0.211020285,0.292166839,0.040702812,0.163413864,117.55,Uganda
0.113050308,1414.586689,63.625,296.83,0.100368656,0.020715007,0.404178836,0.983757199,0.008042272,0.381679389,105.33,Comoros
0.097872078,818.4303416,57.9,301.81,0.026297902,0.486635171,0.644628643,0.026688247,3.631564299,0.003640688,89.18,Mali
0.244888042,27797.45313,80.402,292.78,1,0.518268155,2.042935824,0.956343198,0.279748975,0.250849949,99.1,Cyprus
0.324626416,993.5034125,66.149,298.53,0.436463278,0.010791578,0.433609542,0.02476636,21.58866686,0.063418949,82.79,India
0.32210115,8321.859856,74.376,294.75,0.857148102,0.317285825,3.220834037,0.159298318,1.50851867,0.024462794,77.53,Mexico
0.287559217,6542.86454,72.45721951,282.32,0.996,1.84128282,3.874006921,0.437047692,0.088449827,0.012075836,101.04,Belarus
1.63656403,2074.407389,66.499,290.53,0.999586015,0.125172258,0.897821301,0.004237804,3758.398022,0.001729107,124.52,Turkmenistan
0.566637599,3683.893363,70.888,298.23,0.903309112,0.025040519,1.094284697,0.105691225,0.991972291,0.232067511,105.25,Jamaica
0.695330305,2451.577258,76.133,283.34,0.500720345,0.191175021,0.774559909,0.327487173,0.031901284,0.044897207,102.19,Bosnia and Herzegovina
0.258137954,733.5381615,47.928,300.08,0.015682802,0.002252356,0.575001575,0.294034984,0.24092328,0.094721783,69.05,Nigeria
0.304090514,10030.44443,74.329,299.7,1.000204281,0.847301582,2.549497746,0.573590944,2.270666712,0.029211956,67.5,Oman
0.169467755,1,59.409,297.76,0.148180382,0.096991425,0.413307705,0.053748638,5.026109121,0.000396458,71.37,Eritrea
0.185142772,29417.92188,81.397,292.93,1,0.647139196,2.012501883,1.22016977,0.273512823,0.218641468,88.74,Cyprus
0.162089053,4773.26848,71.753,297.19,0.943420391,0.940650816,4.82546895,0.348050576,0.042990963,0.049387787,68.13,Brazil
0.099277759,405.4249676,59.191,299.45,0.178076851,0.017832203,0.873711823,0.342189212,0.162033614,0.157473493,64.91,Ghana
0.094675711,548.157849,60.239,301.91,0.105596744,0.078094111,0.193431354,0.071541397,6.932982234,0.002189046,83.69,Niger
0.293739949,32127.98319,79.93902439,288.22,1,0.444489138,3.092992796,0.276168701,0.61177042,0.148622176,98.97,Greece
1.556053792,396.377979,67.04,287.1,0.846141946,0.0326059,0.907341357,0.013585359,455.9761091,0.012841988,50.83,Uzbekistan
0.43933305,4307.100827,75.064,287.21,0.010075271,0.0161042,6.26744186,0.246424218,1.113326651,0.228896104,92.4,Lebanon
1.205912352,654.2838373,67.891,288.11,0.855361522,0.105116424,0.961592028,0.013617794,339.1158726,0.013334853,65.34,Uzbekistan
0.155216272,29513.65118,83.22926829,287.67,1,0.819928501,3.846370069,0.370386143,0.842896415,0.184739258,94.65,Spain
0.204261512,14234.47158,74.85853659,284.6,1,0.617530895,2.26349455,0.258690749,3.950141171,0.034288926,85.22,Hungary
1,20988.99233,77.143,297.72,0.01,0.051294985,16.14677641,0.874679336,0.114001943,0.186602871,137.01,Puerto Rico
0.168144409,1094.430124,69.069,284.57,0.770802091,0.291528428,0.363419456,0.007507958,22.29315943,0.028469307,98.91,Tajikistan
0.330166459,16893.60627,76.275,299.44,1,0.111512831,0.458342448,0.561298229,1.327276363,0.08,117.45,Barbados
0.487696778,22795.44886,79.405,299.62,1,0.053390996,8.09008272,1.982772412,20.38026542,0.348837209,98.43,Bahrain
0.156888311,594.2269178,58.151,296.98,0.166666667,0.190419221,0.524390244,0.112566596,0.13561796,0.00737137,96.2,Mozambique
0.246871385,5202.656459,75.743,294.09,0.967248781,0.511248168,1.6918625,0.08809796,0.257820621,0.187786717,98.68,Ecuador
0.051891231,630.1091541,55.448,294.29,0.278203573,0.007055044,0.182438425,0.07054644,1.618167295,0.02461258,73.64,Malawi
1,30627.1634,80.27,298.26,0.01,0.17872885,14.62988434,1.154049007,0.105647742,0.117713004,101.08,Puerto Rico
0.292388441,17937.97957,74.681,299.98,1,3.074879047,2.9407314,0.565124752,2.44942706,0.025440044,75.07,Oman
0.188697638,48153.32402,80.33170732,282.96,1,0.726460428,1.363116478,0.906108505,0.062615169,0.02372093,112.19,Austria
0.194733927,3142.235528,70.195,296.8,0.933172672,0.21238648,4.420935653,0.371697198,0.046762119,0.042893316,57.35,Brazil
0.124894425,52162.57012,81.35853659,284.89,1,0.176314728,11.87995878,0.945087748,0.776597795,0.020507592,102.88,Netherlands
0.269179133,2237.576172,68.704,290.18,1.195358147,0.221221388,1.230848168,0.077014872,8.385958395,0.028910601,70.6,Morocco
0.178429981,6863.074346,68.486,299.3,0.877583258,20.19904567,0.365858989,0.045959811,0.119028539,0.032225579,109.58,Guyana
0.612484219,4846.792101,76.838,284.49,0.469347654,0.450016635,0.815541031,0.389111833,0.027902103,0.042253521,101.68,Bosnia and Herzegovina
0.665646638,3389.687613,72.56341463,284.76,0.011096323,0.255520872,2.359424866,0.064322344,5.262586951,0.039587242,90.51,Bulgaria
0.413729872,12589.52971,72.34,293.7,0.012975654,4.850683041,3.707211448,0.111915204,73.21213591,0.021816998,99.73,Libya
0.509543491,20327.98346,74.215,299.25,1,0.220666303,1.146521562,0.820860261,0.108791246,0.407407407,98.04,Trinidad and Tobago
0.125709437,134.5424863,53.235,291.47,0.072408337,0.002328124,0.183487976,0.070087248,1.945532167,0.022265188,42.64,Ethiopia
0.413814493,25415.84662,79.857,299.95,1,0.051731847,8.334453468,2.30292559,17.56261469,0.348837209,95.87,Bahrain
0.039665638,170.7068764,54.727,293.01,0.042966907,0.002262666,0.109434632,0.098248924,0.328379873,0.219178082,86.3,Burundi
0.137101818,848.3048269,60.901,300.56,0.186802168,0.136764099,0.731541765,0.282536705,0.062638375,0.044502618,109.57,Togo
