"Agriculture, forestry, and fishing, value added (% of GDP)",Cropland Ratio,CO2 emissions (kg per PPP $ of GDP),Exports of goods and services (% of GDP),GDP per capita (current US$),Rural population (% of total population),Urban population (% of total population),"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Internet Penetration Ratio,Water Productivity vs. Crop Production Index,Freshwater Withdrawals to Water Productivity Ratio,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Country
7.319375146,0.00617284,0.299284521,26.16397313,2269.177012,67.791,32.209,5.837430425,0.642514734,0.04296335,5.269729174,35.40538538,Zimbabwe
0.976671168,0.352985355,0.245048697,72.3840975,43918.38017,16.977,83.023,103.5577364,0.737697493,0.581915804,17.69646696,1832.606061,United Arab Emirates
13.00894327,0.006508239,0.101610363,47.1446576,1436.764904,43.023,56.977,21.69216631,0.156741038,0.388053065,0.039044957,0.753749559,Paraguay
19.6083871,0.588235294,0.226863535,68.9706611,1879.240444,86.981,13.019,41.67209801,0.076439435,0.482260132,0.001174678,0.132242833,Papua New Guinea
27.34554429,0.037356322,0.22741894,24.49609652,551.8476777,65.276,34.724,18.25415947,0.014659803,0.246344932,0.097654932,3.117870722,Togo
5.224880586,0.077419354,0.288722905,51.92639854,2906.725278,33.263,66.737,5.692537663,1.856473639,0.092008044,0.112487038,4.066281805,Suriname
8.965181014,0.020648253,0.311236216,41.23169126,3661.457764,30.527,69.473,9.621000366,0.915382079,0.085269878,1.998803585,13.72894532,Ukraine
1.71472562,0.369931231,0.331827929,69.22622549,2031.419386,49.168,50.832,246.7099044,0.006444805,3.178841701,0.000278745,0.16570899,Equatorial Guinea
9.582656922,0.22818792,0.246626947,42.21840069,4687.625957,54.619,45.381,14.23589333,2.758672368,0.140656984,0.046492416,1.260294485,Belize
1.372884044,0.308673732,0.229497762,88.62129397,13776.90333,38.9,61.1,606.7093133,0.046033576,6.90619594,0.000125519,0.183503244,Equatorial Guinea
