Feature,Importance
"Agriculture, forestry, and fishing, value added (% of GDP)",0.015749203
CO2 emissions (kg per PPP $ of GDP),0.088741165
Current health expenditure (% of GDP),0.003735788
Lifetime risk of maternal death (%),0.027738225
Population growth (annual %),0.006928753
"Unemployment, total (% of total labor force)",0.011439534
Level of water stress,0.010494475
Freshwater Withdrawals to Water Productivity Ratio,0.003790528
Internet Penetration Ratio,0.003959358
Urbanization Ratio,0.400941676
Cropland Ratio,0.00473492
