Feature,Importance
CO2 emissions (kg per PPP $ of GDP),0.036884560927173606
GDP per capita (current US$),0.07144116609054593
"Life expectancy at birth, total (years)",0.036587839404494255
Freshwater Withdrawals to Water Productivity Ratio,0.03811601823533907
Internet Penetration Ratio,0.05476164526180434
Water Productivity vs. Crop Production Index,0.02931635258951324
Energy Access Ratio,0.05058556476657438
Urbanization Ratio,0.03757288865861411
Cropland Ratio,0.038405243741621464
Air Temp (Kelvin),0.05351708417948071
