Feature,Importance
"Agriculture, forestry, and fishing, value added (% of GDP)",0.00010972074119243119
CO2 emissions (kg per PPP $ of GDP),6.814885539299159e-05
Exports of goods and services (% of GDP),0.04839570555258123
GDP per capita (current US$),0.045948380672305306
Rural population (% of total population),0.0024199214333294333
Urban population (% of total population),0.0016674071290662842
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",0.04712892829017883
Freshwater Withdrawals to Water Productivity Ratio,0.13124293990588007
Internet Penetration Ratio,0.006103493888343304
Water Productivity vs. Crop Production Index,0.0009840927106084059
Cropland Ratio,0.002179329800156501
